RelativePath,Filename,Extension,Category,TotalLines,NonEmptyLines,CommentLines,MaxThreshold,IsOversized
"src/shell/terminal/commands/context/addPrompt.ts","addPrompt.ts",".ts","TypeScript Logic",62,50,4,250,false
"src/shell/browser/storage/LocalStorageSessionStorage.ts","LocalStorageSessionStorage.ts",".ts","TypeScript Logic",60,52,5,250,false
"src/shell/browser/components/CodeHighlightBlock.tsx","CodeHighlightBlock.tsx",".tsx","React Component",59,52,5,250,false
"src/kernel/ServiceRegistry.ts","ServiceRegistry.ts",".ts","TypeScript Logic",58,48,22,250,false
"src/services/ai/copilot/helpers/fetchCopilotToken.ts","fetchCopilotToken.ts",".ts","TypeScript Logic",58,47,4,250,false
"src/shell/browser/components/Textarea.tsx","Textarea.tsx",".tsx","React Component",57,50,4,250,false
"src/shell/browser/components/TableView.tsx","TableView.tsx",".tsx","React Component",56,51,4,250,false
"src/shell/browser/components/CardGridView.tsx","CardGridView.tsx",".tsx","React Component",55,50,4,250,false
"src/shell/browser/layouts/Layout.tsx","Layout.tsx",".tsx","React Component",55,49,4,250,false
"src/bootloaders/cliBootloader.ts","cliBootloader.ts",".ts","TypeScript Logic",54,43,5,250,false
"src/adapters/cli/chat/handleChatSend.ts","handleChatSend.ts",".ts","TypeScript Logic",53,46,4,250,false
"src/services/ai/copilot/helpers/fetchModels.ts","fetchModels.ts",".ts","TypeScript Logic",52,44,5,250,false
"src/shell/browser/components/PaginationFooter.tsx","PaginationFooter.tsx",".tsx","React Component",50,43,4,250,false
"src/adapters/cli/services/OllamaCLIAdapter.ts","OllamaCLIAdapter.ts",".ts","TypeScript Logic",49,40,4,250,false
"src/shell/terminal/commands/chain/index.ts","index.ts",".ts","TypeScript Logic",48,44,3,250,false
"src/services/ai/comfyui/helpers/getNodeInfo.ts","getNodeInfo.ts",".ts","TypeScript Logic",46,39,4,250,false
"src/shell/browser/components/CodeEditor.tsx","CodeEditor.tsx",".tsx","React Component",45,40,4,250,false
"src/adapters/storage/InMemoryContextStorage.ts","InMemoryContextStorage.ts",".ts","TypeScript Logic",44,33,4,250,false
"src/bootloaders/daemonBootloader.ts","daemonBootloader.ts",".ts","TypeScript Logic",44,35,5,250,false
"src/shell/terminal/formatters/PlainTerminalFormatter.ts","PlainTerminalFormatter.ts",".ts","TypeScript Logic",44,34,4,250,false
"src/shell/terminal/helpers/getTerminalFormatter.ts","getTerminalFormatter.ts",".ts","TypeScript Logic",44,35,5,250,false
"src/adapters/cli/chat/handleChatHistory.ts","handleChatHistory.ts",".ts","TypeScript Logic",43,33,4,250,false
"src/shell/browser/components/Button.tsx","Button.tsx",".tsx","React Component",43,37,4,250,false
"src/shell/browser/components/Modal.tsx","Modal.tsx",".tsx","React Component",43,38,4,250,false
"src/adapters/cli/chat/handleChatConfig.ts","handleChatConfig.ts",".ts","TypeScript Logic",42,34,4,250,false
"src/adapters/cli/chat/handleChatStatus.ts","handleChatStatus.ts",".ts","TypeScript Logic",41,33,4,250,false
"src/adapters/factories/createChatEngine.ts","createChatEngine.ts",".ts","TypeScript Logic",40,35,5,250,false
"src/shell/terminal/tokenize.ts","tokenize.ts",".ts","TypeScript Logic",40,34,4,250,false
"src/shell/terminal/commands/context/assembleContext.ts","assembleContext.ts",".ts","TypeScript Logic",39,32,4,250,false
"src/engines/context/helpers/TokenWindowPruner.ts","TokenWindowPruner.ts",".ts","TypeScript Logic",38,31,6,250,false
"src/kernel/loadSecrets.ts","loadSecrets.ts",".ts","TypeScript Logic",38,32,4,250,false
"src/kernel/ManifestLoader.ts","ManifestLoader.ts",".ts","TypeScript Logic",38,33,5,250,false
"src/adapters/storage/InMemorySessionStorage.ts","InMemorySessionStorage.ts",".ts","TypeScript Logic",37,29,4,250,false
"src/shell/terminal/commands/playJingle.ts","playJingle.ts",".ts","TypeScript Logic",37,29,7,250,false
"src/shell/terminal/commands/context/createPack.ts","createPack.ts",".ts","TypeScript Logic",36,29,4,250,false
"src/services/tokenizer/HeuristicTokenizerService.ts","HeuristicTokenizerService.ts",".ts","TypeScript Logic",35,27,4,250,false
"src/shell/browser/components/DatePicker.tsx","DatePicker.tsx",".tsx","React Component",35,31,4,250,false
"src/shell/browser/components/Header.tsx","Header.tsx",".tsx","React Component",35,31,4,250,false
"src/shell/browser/components/SidePanel.tsx","SidePanel.tsx",".tsx","React Component",34,29,4,250,false
"src/services/ai/comfyui/helpers/generateMedia.ts","generateMedia.ts",".ts","TypeScript Logic",33,26,4,250,false
"src/shell/browser/components/Badge.tsx","Badge.tsx",".tsx","React Component",33,28,4,250,false
"src/services/ai/comfyui/helpers/getModels.ts","getModels.ts",".ts","TypeScript Logic",32,25,4,250,false
"src/services/ai/comfyui/helpers/listWorkflows.ts","listWorkflows.ts",".ts","TypeScript Logic",30,26,4,250,false
"src/services/ai/ServiceFactory.ts","ServiceFactory.ts",".ts","TypeScript Logic",29,22,4,250,false
"src/shell/browser/components/Typography.tsx","Typography.tsx",".tsx","React Component",29,25,4,250,false
"src/shell/terminal/commands/context/showTemplate.ts","showTemplate.ts",".ts","TypeScript Logic",29,23,4,250,false
"src/services/ai/copilot/helpers/checkHealth.ts","checkHealth.ts",".ts","TypeScript Logic",28,24,4,250,false
"src/adapters/storage/InMemoryChainStorage.ts","InMemoryChainStorage.ts",".ts","TypeScript Logic",27,20,4,250,false
"src/services/ai/ollama/helpers/fetchModels.ts","fetchModels.ts",".ts","TypeScript Logic",27,22,4,250,false
"src/services/ai/ollama/helpers/loadImage.ts","loadImage.ts",".ts","TypeScript Logic",26,20,4,250,false
"src/shell/browser/browserBootloader.tsx","browserBootloader.tsx",".tsx","React Component",24,19,4,250,false
"src/engines/context/helpers/ContextTemplate.ts","ContextTemplate.ts",".ts","TypeScript Logic",22,17,4,250,false
"src/shell/terminal/commands/context/listTemplates.ts","listTemplates.ts",".ts","TypeScript Logic",21,16,4,250,false
"src/shell/browser/helpers/loadUIConfig.ts","loadUIConfig.ts",".ts","TypeScript Logic",19,14,5,250,false
"src/shell/browser/styles/globals.css","globals.css",".css","Stylesheet",19,17,0,500,false
"src/shell/browser/components/SearchableCardGrid.tsx","SearchableCardGrid.tsx",".tsx","React Component",17,13,4,250,false
"src/engines/chat/helpers/sanitizeId.ts","sanitizeId.ts",".ts","TypeScript Logic",16,13,4,250,false
"src/shell/terminal/formatters/ITerminalFormatter.ts","ITerminalFormatter.ts",".ts","TypeScript Logic",16,14,4,250,false
"src/services/ai/comfyui/helpers/checkHealth.ts","checkHealth.ts",".ts","TypeScript Logic",14,12,4,250,false
"src/services/ai/ollama/helpers/checkHealth.ts","checkHealth.ts",".ts","TypeScript Logic",14,12,4,250,false
"src/shell/browser/index.html","index.html",".html","HTML Template",13,12,0,500,false
"src/shell/browser/helpers/stripAnsi.ts","stripAnsi.ts",".ts","TypeScript Logic",12,10,4,250,false
"src/services/tokenizer/ITokenizerService.ts","ITokenizerService.ts",".ts","TypeScript Logic",11,8,4,250,false
"src/shell/browser/types.ts","types.ts",".ts","TypeScript Logic",9,7,3,250,false
